Level,Move,Type,Cat.,Pwr.,Acc.,PP,Pokemon Name
27.0,Rock Blast,Rock,Physical,25,80%,10.0,Graveler
33.0,Earthquake,Ground,Physical,100,100%,10.0,Graveler
38.0,Explosion,Normal,Physical,250,100%,5.0,Graveler
44.0,Double-Edge,Normal,Physical,120,100%,15.0,Graveler
49.0,Stone Edge,Rock,Physical,100,80%,5.0,Graveler
1.0,Tackle,Normal,Physical,35,95%,35.0,Golem
1.0,Defense Curl,Normal,Status,—,—%,40.0,Golem
1.0,Mud Sport,Ground,Status,—,—%,15.0,Golem
1.0,Rock Polish,Rock,Status,—,—%,20.0,Golem
4.0,Mud Sport,Ground,Status,—,—%,15.0,Golem
8.0,Rock Polish,Rock,Status,—,—%,20.0,Golem
11.0,Rock Throw,Rock,Physical,50,90%,15.0,Golem
15.0,Magnitude,Ground,Physical,—,100%,30.0,Golem
18.0,Selfdestruct,Normal,Physical,200,100%,5.0,Golem
22.0,Rollout,Rock,Physical,30,90%,20.0,Golem
27.0,Rock Blast,Rock,Physical,25,80%,10.0,Golem
33.0,Earthquake,Ground,Physical,100,100%,10.0,Golem
38.0,Explosion,Normal,Physical,250,100%,5.0,Golem
44.0,Double-Edge,Normal,Physical,120,100%,15.0,Golem
49.0,Stone Edge,Rock,Physical,100,80%,5.0,Golem
1.0,Leech Life,Bug,Physical,20,100%,15.0,Zubat
5.0,Supersonic,Normal,Status,—,55%,20.0,Zubat
9.0,Astonish,Ghost,Physical,30,100%,15.0,Zubat
13.0,Bite,Dark,Physical,60,100%,25.0,Zubat
17.0,Wing Attack,Flying,Physical,60,100%,35.0,Zubat
21.0,Confuse Ray,Ghost,Status,—,100%,10.0,Zubat
25.0,Air Cutter,Flying,Special,55,95%,25.0,Zubat
29.0,Mean Look,Normal,Status,—,—%,5.0,Zubat
33.0,Poison Fang,Poison,Physical,50,100%,15.0,Zubat
37.0,Haze,Ice,Status,—,—%,30.0,Zubat
41.0,Air Slash,Flying,Special,75,95%,20.0,Zubat
1.0,Screech,Normal,Status,—,85%,40.0,Golbat
1.0,Leech Life,Bug,Physical,20,100%,15.0,Golbat
1.0,Supersonic,Normal,Status,—,55%,20.0,Golbat
1.0,Astonish,Ghost,Physical,30,100%,15.0,Golbat
5.0,Supersonic,Normal,Status,—,55%,20.0,Golbat
9.0,Astonish,Ghost,Physical,30,100%,15.0,Golbat
13.0,Bite,Dark,Physical,60,100%,25.0,Golbat
17.0,Wing Attack,Flying,Physical,60,100%,35.0,Golbat
21.0,Confuse Ray,Ghost,Status,—,100%,10.0,Golbat
27.0,Air Cutter,Flying,Special,55,95%,25.0,Golbat
33.0,Mean Look,Normal,Status,—,—%,5.0,Golbat
39.0,Poison Fang,Poison,Physical,50,100%,15.0,Golbat
45.0,Haze,Ice,Status,—,—%,30.0,Golbat
51.0,Air Slash,Flying,Special,75,95%,20.0,Golbat
1.0,Cross Poison,Poison,Physical,70,100%,20.0,Crobat
1.0,Screech,Normal,Status,—,85%,40.0,Crobat
1.0,Leech Life,Bug,Physical,20,100%,15.0,Crobat
1.0,Supersonic,Normal,Status,—,55%,20.0,Crobat
1.0,Astonish,Ghost,Physical,30,100%,15.0,Crobat
5.0,Supersonic,Normal,Status,—,55%,20.0,Crobat
9.0,Astonish,Ghost,Physical,30,100%,15.0,Crobat
13.0,Bite,Dark,Physical,60,100%,25.0,Crobat
17.0,Wing Attack,Flying,Physical,60,100%,35.0,Crobat
21.0,Confuse Ray,Ghost,Status,—,100%,10.0,Crobat
27.0,Air Cutter,Flying,Special,55,95%,25.0,Crobat
33.0,Mean Look,Normal,Status,—,—%,5.0,Crobat
39.0,Poison Fang,Poison,Physical,50,100%,15.0,Crobat
45.0,Haze,Ice,Status,—,—%,30.0,Crobat
51.0,Air Slash,Flying,Special,75,95%,20.0,Crobat
1.0,Pound,Normal,Physical,40,100%,35.0,Cleffa
1.0,Charm,Normal,Status,—,100%,20.0,Cleffa
4.0,Encore,Normal,Status,—,100%,5.0,Cleffa
7.0,Sing,Normal,Status,—,55%,15.0,Cleffa
10.0,Sweet Kiss,Normal,Status,—,75%,10.0,Cleffa
13.0,Copycat,Normal,Status,—,—%,20.0,Cleffa
16.0,Magical Leaf,Grass,Special,60,—%,20.0,Cleffa
1.0,Pound,Normal,Physical,40,100%,35.0,Clefairy
1.0,Growl,Normal,Status,—,100%,40.0,Clefairy
4.0,Encore,Normal,Status,—,100%,5.0,Clefairy
7.0,Sing,Normal,Status,—,55%,15.0,Clefairy
10.0,DoubleSlap,Normal,Physical,15,85%,10.0,Clefairy
13.0,Defense Curl,Normal,Status,—,—%,40.0,Clefairy
16.0,Follow Me,Normal,Status,—,—%,20.0,Clefairy
19.0,Minimize,Normal,Status,—,—%,20.0,Clefairy
22.0,Wake-Up Slap,Fighting,Physical,60,100%,10.0,Clefairy
25.0,Cosmic Power,Psychic,Status,—,—%,20.0,Clefairy
28.0,Lucky Chant,Normal,Status,—,—%,30.0,Clefairy
31.0,Metronome,Normal,Status,—,—%,10.0,Clefairy
34.0,Gravity,Psychic,Status,—,—%,5.0,Clefairy
37.0,Moonlight,Normal,Status,—,—%,5.0,Clefairy
40.0,Light Screen,Psychic,Status,—,—%,30.0,Clefairy
43.0,Meteor Mash,Steel,Physical,100,85%,10.0,Clefairy
46.0,Healing Wish,Psychic,Status,—,—%,10.0,Clefairy
1.0,Minimize,Normal,Status,—,—%,20.0,Clefable
1.0,DoubleSlap,Normal,Physical,15,85%,10.0,Clefable
1.0,Sing,Normal,Status,—,55%,15.0,Clefable
1.0,Metronome,Normal,Status,—,—%,10.0,Clefable
1.0,Sing,Normal,Status,—,55%,15.0,Igglybuff
1.0,Charm,Normal,Status,—,100%,20.0,Igglybuff
5.0,Defense Curl,Normal,Status,—,—%,40.0,Igglybuff
9.0,Pound,Normal,Physical,40,100%,35.0,Igglybuff
13.0,Sweet Kiss,Normal,Status,—,75%,10.0,Igglybuff
17.0,Copycat,Normal,Status,—,—%,20.0,Igglybuff
1.0,Sing,Normal,Status,—,55%,15.0,Jigglypuff
5.0,Defense Curl,Normal,Status,—,—%,40.0,Jigglypuff
9.0,Pound,Normal,Physical,40,100%,35.0,Jigglypuff
13.0,Disable,Normal,Status,—,80%,20.0,Jigglypuff
17.0,Rollout,Rock,Physical,30,90%,20.0,Jigglypuff
21.0,DoubleSlap,Normal,Physical,15,85%,10.0,Jigglypuff
25.0,Rest,Psychic,Status,—,—%,10.0,Jigglypuff
29.0,Body Slam,Normal,Physical,85,100%,15.0,Jigglypuff
33.0,Gyro Ball,Steel,Physical,—,100%,5.0,Jigglypuff
37.0,Wake-Up Slap,Fighting,Physical,60,100%,10.0,Jigglypuff
41.0,Mimic,Normal,Status,—,—%,10.0,Jigglypuff
45.0,Hyper Voice,Normal,Special,90,100%,10.0,Jigglypuff
49.0,Double-Edge,Normal,Physical,120,100%,15.0,Jigglypuff
1.0,Sing,Normal,Status,—,55%,15.0,Wigglytuff
1.0,Disable,Normal,Status,—,80%,20.0,Wigglytuff
1.0,Defense Curl,Normal,Status,—,—%,40.0,Wigglytuff
1.0,DoubleSlap,Normal,Physical,15,85%,10.0,Wigglytuff
1.0,Growl,Normal,Status,—,100%,40.0,Togepi
1.0,Charm,Normal,Status,—,100%,20.0,Togepi
6.0,Metronome,Normal,Status,—,—%,10.0,Togepi
10.0,Sweet Kiss,Normal,Status,—,75%,10.0,Togepi
15.0,Yawn,Normal,Status,—,—%,10.0,Togepi
19.0,Encore,Normal,Status,—,100%,5.0,Togepi
24.0,Follow Me,Normal,Status,—,—%,20.0,Togepi
28.0,Wish,Normal,Status,—,—%,10.0,Togepi
33.0,AncientPower,Rock,Special,60,100%,5.0,Togepi
37.0,Safeguard,Normal,Status,—,—%,25.0,Togepi
42.0,Baton Pass,Normal,Status,—,—%,40.0,Togepi
46.0,Double-Edge,Normal,Physical,120,100%,15.0,Togepi
51.0,Last Resort,Normal,Physical,130,100%,5.0,Togepi
1.0,Magical Leaf,Grass,Special,60,—%,20.0,Togetic
1.0,Growl,Normal,Status,—,100%,40.0,Togetic
1.0,Charm,Normal,Status,—,100%,20.0,Togetic
1.0,Metronome,Normal,Status,—,—%,10.0,Togetic
1.0,Sweet Kiss,Normal,Status,—,75%,10.0,Togetic
6.0,Metronome,Normal,Status,—,—%,10.0,Togetic
10.0,Sweet Kiss,Normal,Status,—,75%,10.0,Togetic
15.0,Yawn,Normal,Status,—,—%,10.0,Togetic
19.0,Encore,Normal,Status,—,100%,5.0,Togetic
24.0,Follow Me,Normal,Status,—,—%,20.0,Togetic
28.0,Wish,Normal,Status,—,—%,10.0,Togetic
33.0,AncientPower,Rock,Special,60,100%,5.0,Togetic
37.0,Safeguard,Normal,Status,—,—%,25.0,Togetic
42.0,Baton Pass,Normal,Status,—,—%,40.0,Togetic
46.0,Double-Edge,Normal,Physical,120,100%,15.0,Togetic
51.0,Last Resort,Normal,Physical,130,100%,5.0,Togetic
1.0,Scratch,Normal,Physical,40,100%,35.0,Sandshrew
3.0,Defense Curl,Normal,Status,—,—%,40.0,Sandshrew
7.0,Sand-Attack,Ground,Status,—,100%,15.0,Sandshrew
9.0,Poison Sting,Poison,Physical,15,100%,35.0,Sandshrew
13.0,Rapid Spin,Normal,Physical,20,100%,40.0,Sandshrew
15.0,Swift,Normal,Special,60,—%,20.0,Sandshrew
19.0,Fury Swipes,Normal,Physical,18,80%,15.0,Sandshrew
21.0,Rollout,Rock,Physical,30,90%,20.0,Sandshrew
25.0,Fury Cutter,Bug,Physical,10,95%,20.0,Sandshrew
27.0,Sand Tomb,Ground,Physical,15,70%,15.0,Sandshrew
31.0,Slash,Normal,Physical,70,100%,20.0,Sandshrew
33.0,Gyro Ball,Steel,Physical,—,100%,5.0,Sandshrew
37.0,Sandstorm,Rock,Status,—,—%,10.0,Sandshrew
1.0,Scratch,Normal,Physical,40,100%,35.0,Sandslash
1.0,Defense Curl,Normal,Status,—,—%,40.0,Sandslash
1.0,Sand-Attack,Ground,Status,—,100%,15.0,Sandslash
3.0,Defense Curl,Normal,Status,—,—%,40.0,Sandslash
7.0,Sand-Attack,Ground,Status,—,100%,15.0,Sandslash
9.0,Poison Sting,Poison,Physical,15,100%,35.0,Sandslash
13.0,Rapid Spin,Normal,Physical,20,100%,40.0,Sandslash
15.0,Swift,Normal,Special,60,—%,20.0,Sandslash
19.0,Fury Swipes,Normal,Physical,18,80%,15.0,Sandslash
21.0,Rollout,Rock,Physical,30,90%,20.0,Sandslash
22.0,Crush Claw,Normal,Physical,75,95%,10.0,Sandslash
28.0,Fury Cutter,Bug,Physical,10,95%,20.0,Sandslash
33.0,Sand Tomb,Ground,Physical,15,70%,15.0,Sandslash
40.0,Slash,Normal,Physical,70,100%,20.0,Sandslash
45.0,Gyro Ball,Steel,Physical,—,100%,5.0,Sandslash
52.0,Sandstorm,Rock,Status,—,—%,10.0,Sandslash
1.0,Wrap,Normal,Physical,15,85%,20.0,Ekans
1.0,Leer,Normal,Status,—,100%,30.0,Ekans
4.0,Poison Sting,Poison,Physical,15,100%,35.0,Ekans
9.0,Bite,Dark,Physical,60,100%,25.0,Ekans
12.0,Glare,Normal,Status,—,75%,30.0,Ekans
17.0,Screech,Normal,Status,—,85%,40.0,Ekans
20.0,Acid,Poison,Special,40,100%,30.0,Ekans
25.0,Stockpile,Normal,Status,—,—%,20.0,Ekans
25.0,Swallow,Normal,Status,—,—%,10.0,Ekans
25.0,Spit Up,Normal,Special,—,100%,10.0,Ekans
28.0,Mud Bomb,Ground,Special,65,85%,10.0,Ekans
33.0,Gastro Acid,Poison,Status,—,100%,10.0,Ekans
36.0,Haze,Ice,Status,—,—%,30.0,Ekans
41.0,Gunk Shot,Poison,Physical,120,70%,5.0,Ekans
1.0,Ice Fang,Ice,Physical,65,95%,15.0,Arbok
1.0,Thunder Fang,Electric,Physical,65,95%,15.0,Arbok
1.0,Fire Fang,Fire,Physical,65,95%,15.0,Arbok
1.0,Wrap,Normal,Physical,15,85%,20.0,Arbok
1.0,Leer,Normal,Status,—,100%,30.0,Arbok
1.0,Poison Sting,Poison,Physical,15,100%,35.0,Arbok
1.0,Bite,Dark,Physical,60,100%,25.0,Arbok
4.0,Poison Sting,Poison,Physical,15,100%,35.0,Arbok
9.0,Bite,Dark,Physical,60,100%,25.0,Arbok
12.0,Glare,Normal,Status,—,75%,30.0,Arbok
17.0,Screech,Normal,Status,—,85%,40.0,Arbok
20.0,Acid,Poison,Special,40,100%,30.0,Arbok
22.0,Crunch,Dark,Physical,80,100%,15.0,Arbok
28.0,Stockpile,Normal,Status,—,—%,20.0,Arbok
28.0,Swallow,Normal,Status,—,—%,10.0,Arbok
28.0,Spit Up,Normal,Special,—,100%,10.0,Arbok
34.0,Mud Bomb,Ground,Special,65,85%,10.0,Arbok
42.0,Gastro Acid,Poison,Status,—,100%,10.0,Arbok
48.0,Haze,Ice,Status,—,—%,30.0,Arbok
56.0,Gunk Shot,Poison,Physical,120,70%,5.0,Arbok
