Move,Type,Cat.,Pwr.,Acc.,PP,S. Contest,Appeal,Pokemon Name,level
Rock Throw,Rock,Physical,50,90%,15,Tough,3 ♥♥♥,Steelix,9
Rage,Normal,Physical,20,100%,20,Cool,0,Steelix,14
Rock Tomb,Rock,Physical,50,80%,10,Smart,2 ♥♥,Steelix,17
Sandstorm,Rock,Status,—,—%,10,Tough,2 ♥♥,Steelix,22
Slam,Normal,Physical,80,75%,20,Tough,3 ♥♥♥,Steelix,25
Rock Polish,Rock,Status,—,—%,20,Tough,2 ♥♥,Steelix,30
DragonBreath,Dragon,Special,60,100%,20,Cool,2 ♥♥,Steelix,33
Curse,???,Status,—,—%,10,Tough,0,Steelix,38
Iron Tail,Steel,Physical,100,75%,15,Cool,2 ♥♥,Steelix,41
Crunch,Dark,Physical,80,100%,15,Tough,2 ♥♥,Steelix,46
Double-Edge,Normal,Physical,120,100%,15,Tough,0,Steelix,49
Stone Edge,Rock,Physical,100,80%,5,Tough,2 ♥♥,Steelix,54
Vine Whip,Grass,Physical,35,100%,15,Cool,3 ♥♥♥,Bellsprout,1
Growth,Normal,Status,—,—%,40,Beauty,0,Bellsprout,7
Wrap,Normal,Physical,15,85%,20,Tough,0,Bellsprout,11
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Bellsprout,13
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Bellsprout,15
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Bellsprout,17
Acid,Poison,Special,40,100%,30,Smart,3 ♥♥♥,Bellsprout,23
Knock Off,Dark,Physical,20,100%,20,Smart,3 ♥♥♥,Bellsprout,27
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Bellsprout,29
Gastro Acid,Poison,Status,—,100%,10,Beauty,2 ♥♥,Bellsprout,35
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Bellsprout,39
Slam,Normal,Physical,80,75%,20,Tough,3 ♥♥♥,Bellsprout,41
Wring Out,Normal,Special,—,100%,5,Smart,2 ♥♥,Bellsprout,47
Vine Whip,Grass,Physical,35,100%,15,Cool,3 ♥♥♥,Weepinbell,1
Growth,Normal,Status,—,—%,40,Beauty,0,Weepinbell,1
Wrap,Normal,Physical,15,85%,20,Tough,0,Weepinbell,1
Growth,Normal,Status,—,—%,40,Beauty,0,Weepinbell,7
Wrap,Normal,Physical,15,85%,20,Tough,0,Weepinbell,11
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Weepinbell,13
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Weepinbell,15
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Weepinbell,17
Acid,Poison,Special,40,100%,30,Smart,3 ♥♥♥,Weepinbell,23
Knock Off,Dark,Physical,20,100%,20,Smart,3 ♥♥♥,Weepinbell,27
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Weepinbell,29
Gastro Acid,Poison,Status,—,100%,10,Beauty,2 ♥♥,Weepinbell,35
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Weepinbell,39
Slam,Normal,Physical,80,75%,20,Tough,3 ♥♥♥,Weepinbell,41
Wring Out,Normal,Special,—,100%,5,Smart,2 ♥♥,Weepinbell,47
Stockpile,Normal,Status,—,—%,20,Tough,0,Victreebel,1
Swallow,Normal,Status,—,—%,10,Tough,0,Victreebel,1
Spit Up,Normal,Special,—,100%,10,Tough,2 ♥♥,Victreebel,1
Vine Whip,Grass,Physical,35,100%,15,Cool,3 ♥♥♥,Victreebel,1
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Victreebel,1
Razor Leaf,Grass,Physical,55,95%,25,Cool,3 ♥♥♥,Victreebel,1
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Victreebel,1
Leaf Storm,Grass,Special,140,90%,5,Cute,2 ♥♥,Victreebel,47
Leaf Blade,Grass,Physical,90,100%,15,Cool,2 ♥♥,Victreebel,47
Splash,Normal,Status,—,—%,40,Cute,0,Hoppip,1
Synthesis,Grass,Status,—,—%,5,Smart,0,Hoppip,4
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Hoppip,7
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Hoppip,10
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Hoppip,12
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Hoppip,14
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Hoppip,16
Bullet Seed,Grass,Physical,10,100%,30,Cool,2 ♥♥,Hoppip,19
Leech Seed,Grass,Status,—,90%,10,Smart,0,Hoppip,22
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Hoppip,25
Cotton Spore,Grass,Status,—,85%,40,Beauty,2 ♥♥,Hoppip,28
U-turn,Bug,Physical,70,100%,20,Cute,0,Hoppip,31
Worry Seed,Grass,Status,—,100%,10,Beauty,2 ♥♥,Hoppip,34
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Hoppip,37
Bounce,Flying,Physical,85,85%,5,Cute,1 ♥,Hoppip,40
Memento,Dark,Status,—,100%,10,Tough,0,Hoppip,43
Splash,Normal,Status,—,—%,40,Cute,0,Skiploom,1
Synthesis,Grass,Status,—,—%,5,Smart,0,Skiploom,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Skiploom,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Skiploom,1
Synthesis,Grass,Status,—,—%,5,Smart,0,Skiploom,4
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Skiploom,7
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Skiploom,10
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Skiploom,12
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Skiploom,14
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Skiploom,16
Bullet Seed,Grass,Physical,10,100%,30,Cool,2 ♥♥,Skiploom,20
Leech Seed,Grass,Status,—,90%,10,Smart,0,Skiploom,24
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Skiploom,28
Cotton Spore,Grass,Status,—,85%,40,Beauty,2 ♥♥,Skiploom,32
U-turn,Bug,Physical,70,100%,20,Cute,0,Skiploom,36
Worry Seed,Grass,Status,—,100%,10,Beauty,2 ♥♥,Skiploom,40
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Skiploom,44
Bounce,Flying,Physical,85,85%,5,Cute,1 ♥,Skiploom,48
Memento,Dark,Status,—,100%,10,Tough,0,Skiploom,52
Splash,Normal,Status,—,—%,40,Cute,0,Jumpluff,1
Synthesis,Grass,Status,—,—%,5,Smart,0,Jumpluff,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Jumpluff,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Jumpluff,1
Synthesis,Grass,Status,—,—%,5,Smart,0,Jumpluff,4
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Jumpluff,7
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Jumpluff,10
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Jumpluff,12
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Jumpluff,14
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Jumpluff,16
Bullet Seed,Grass,Physical,10,100%,30,Cool,2 ♥♥,Jumpluff,20
Leech Seed,Grass,Status,—,90%,10,Smart,0,Jumpluff,24
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Jumpluff,28
Cotton Spore,Grass,Status,—,85%,40,Beauty,2 ♥♥,Jumpluff,32
U-turn,Bug,Physical,70,100%,20,Cute,0,Jumpluff,36
Worry Seed,Grass,Status,—,100%,10,Beauty,2 ♥♥,Jumpluff,40
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Jumpluff,44
Bounce,Flying,Physical,85,85%,5,Cute,1 ♥,Jumpluff,48
Memento,Dark,Status,—,100%,10,Tough,0,Jumpluff,52
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Paras,1
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Paras,6
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Paras,6
Leech Life,Bug,Physical,20,100%,15,Smart,1 ♥,Paras,11
Spore,Grass,Status,—,100%,15,Beauty,2 ♥♥,Paras,17
Slash,Normal,Physical,70,100%,20,Cool,3 ♥♥♥,Paras,22
Growth,Normal,Status,—,—%,40,Beauty,0,Paras,27
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Paras,33
Aromatherapy,Grass,Status,—,—%,5,Smart,0,Paras,38
X-Scissor,Bug,Physical,80,100%,15,Beauty,2 ♥♥,Paras,43
Cross Poison,Poison,Physical,70,100%,20,Cool,3 ♥♥♥,Parasect,1
Scratch,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Parasect,1
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Parasect,1
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Parasect,1
Leech Life,Bug,Physical,20,100%,15,Smart,1 ♥,Parasect,1
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Parasect,6
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Parasect,6
Leech Life,Bug,Physical,20,100%,15,Smart,1 ♥,Parasect,11
Spore,Grass,Status,—,100%,15,Beauty,2 ♥♥,Parasect,17
Slash,Normal,Physical,70,100%,20,Cool,3 ♥♥♥,Parasect,22
Growth,Normal,Status,—,—%,40,Beauty,0,Parasect,30
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Parasect,39
Aromatherapy,Grass,Status,—,—%,5,Smart,0,Parasect,47
X-Scissor,Bug,Physical,80,100%,15,Beauty,2 ♥♥,Parasect,55
Water Sport,Water,Status,—,—%,15,Cute,2 ♥♥,Poliwag,1
Bubble,Water,Special,20,100%,30,Cute,2 ♥♥,Poliwag,5
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Poliwag,8
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Poliwag,11
DoubleSlap,Normal,Physical,15,85%,10,Tough,2 ♥♥,Poliwag,15
Rain Dance,Water,Status,—,—%,5,Tough,2 ♥♥,Poliwag,18
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Poliwag,21
BubbleBeam,Water,Special,65,100%,20,Beauty,2 ♥♥,Poliwag,25
Mud Shot,Ground,Special,55,95%,15,Tough,2 ♥♥,Poliwag,28
Belly Drum,Normal,Status,—,—%,10,Cute,0,Poliwag,31
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Poliwag,35
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Poliwag,38
Mud Bomb,Ground,Special,65,85%,10,Smart,2 ♥♥,Poliwag,41
Water Sport,Water,Status,—,—%,15,Cute,2 ♥♥,Poliwhirl,1
Bubble,Water,Special,20,100%,30,Cute,2 ♥♥,Poliwhirl,1
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Poliwhirl,1
Bubble,Water,Special,20,100%,30,Cute,2 ♥♥,Poliwhirl,5
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Poliwhirl,8
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Poliwhirl,11
DoubleSlap,Normal,Physical,15,85%,10,Tough,2 ♥♥,Poliwhirl,15
Rain Dance,Water,Status,—,—%,5,Tough,2 ♥♥,Poliwhirl,18
Body Slam,Normal,Physical,85,100%,15,Tough,3 ♥♥♥,Poliwhirl,21
BubbleBeam,Water,Special,65,100%,20,Beauty,2 ♥♥,Poliwhirl,27
Mud Shot,Ground,Special,55,95%,15,Tough,2 ♥♥,Poliwhirl,32
Belly Drum,Normal,Status,—,—%,10,Cute,0,Poliwhirl,37
Wake-Up Slap,Fighting,Physical,60,100%,10,Smart,0,Poliwhirl,43
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Poliwhirl,48
Mud Bomb,Ground,Special,65,85%,10,Smart,2 ♥♥,Poliwhirl,53
BubbleBeam,Water,Special,65,100%,20,Beauty,2 ♥♥,Poliwrath,1
DoubleSlap,Normal,Physical,15,85%,10,Tough,2 ♥♥,Poliwrath,1
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Poliwrath,1
Submission,Fighting,Physical,80,80%,25,Cool,3 ♥♥♥,Poliwrath,1
DynamicPunch,Fighting,Physical,100,50%,5,Cool,2 ♥♥,Poliwrath,43
Mind Reader,Normal,Status,—,—%,5,Smart,1 ♥,Poliwrath,53
BubbleBeam,Water,Special,65,100%,20,Beauty,2 ♥♥,Politoed,1
DoubleSlap,Normal,Physical,15,85%,10,Tough,2 ♥♥,Politoed,1
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Politoed,1
Perish Song,Normal,Status,—,—%,5,Beauty,2 ♥♥,Politoed,1
Swagger,Normal,Status,—,90%,15,Cute,2 ♥♥,Politoed,53
Bounce,Flying,Physical,85,85%,5,Cute,1 ♥,Politoed,43
Hyper Voice,Normal,Special,90,100%,10,Cool,3 ♥♥♥,Politoed,48
Splash,Normal,Status,—,—%,40,Cute,0,Magikarp,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Magikarp,15
Flail,Normal,Physical,—,100%,15,Cute,2 ♥♥,Magikarp,30
Thrash,Normal,Physical,90,100%,20,Tough,2 ♥♥,Gyarados,1
Bite,Dark,Physical,60,100%,25,Tough,3 ♥♥♥,Gyarados,20
Dragon Rage,Dragon,Special,—,100%,10,Cool,3 ♥♥♥,Gyarados,23
Leer,Normal,Status,—,100%,30,Cool,2 ♥♥,Gyarados,26
Twister,Dragon,Special,40,100%,20,Cool,3 ♥♥♥,Gyarados,29
Ice Fang,Ice,Physical,65,95%,15,Cool,3 ♥♥♥,Gyarados,32
Aqua Tail,Water,Physical,90,90%,10,Cute,3 ♥♥♥,Gyarados,35
Rain Dance,Water,Status,—,—%,5,Tough,2 ♥♥,Gyarados,38
Hydro Pump,Water,Special,120,80%,5,Beauty,2 ♥♥,Gyarados,41
Dragon Dance,Dragon,Status,—,—%,20,Cool,0,Gyarados,44
Hyper Beam,Normal,Special,150,90%,5,Cool,2 ♥♥,Gyarados,47
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Goldeen,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Goldeen,1
Water Sport,Water,Status,—,—%,15,Cute,2 ♥♥,Goldeen,1
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Goldeen,7
Horn Attack,Normal,Physical,65,100%,25,Cool,3 ♥♥♥,Goldeen,11
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Goldeen,17
Flail,Normal,Physical,—,100%,15,Cute,2 ♥♥,Goldeen,21
Aqua Ring,Water,Status,—,—%,20,Beauty,0,Goldeen,27
Fury Attack,Normal,Physical,15,85%,20,Cool,2 ♥♥,Goldeen,31
Waterfall,Water,Physical,80,100%,15,Tough,3 ♥♥♥,Goldeen,37
Horn Drill,Normal,Physical,—,30%,5,Cool,0,Goldeen,41
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Goldeen,47
Megahorn,Bug,Physical,120,85%,10,Cool,2 ♥♥,Goldeen,51
Poison Jab,Poison,Physical,80,100%,20,Smart,2 ♥♥,Seaking,1
Peck,Flying,Physical,35,100%,35,Cool,3 ♥♥♥,Seaking,1
Tail Whip,Normal,Status,—,100%,30,Cute,2 ♥♥,Seaking,1
Water Sport,Water,Status,—,—%,15,Cute,2 ♥♥,Seaking,1
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Seaking,1
Supersonic,Normal,Status,—,55%,20,Smart,2 ♥♥,Seaking,7
Horn Attack,Normal,Physical,65,100%,25,Cool,3 ♥♥♥,Seaking,11
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Seaking,17
Flail,Normal,Physical,—,100%,15,Cute,2 ♥♥,Seaking,21
Aqua Ring,Water,Status,—,—%,20,Beauty,0,Seaking,27
Fury Attack,Normal,Physical,15,85%,20,Cool,2 ♥♥,Seaking,31
Waterfall,Water,Physical,80,100%,15,Tough,3 ♥♥♥,Seaking,40
Horn Drill,Normal,Physical,—,30%,5,Cool,0,Seaking,47
Agility,Psychic,Status,—,—%,30,Cool,2 ♥♥,Seaking,56
Megahorn,Bug,Physical,120,85%,10,Cool,2 ♥♥,Seaking,63
Curse,???,Status,—,—%,10,Tough,0,Slowpoke,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Slowpoke,1
Yawn,Normal,Status,—,—%,10,Cute,2 ♥♥,Slowpoke,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Slowpoke,6
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Slowpoke,11
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Slowpoke,15
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Slowpoke,20
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Slowpoke,25
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Slowpoke,29
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Slowpoke,34
Slack Off,Normal,Status,—,—%,10,Cute,0,Slowpoke,39
Amnesia,Psychic,Status,—,—%,20,Cute,0,Slowpoke,43
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Slowpoke,48
Rain Dance,Water,Status,—,—%,5,Tough,2 ♥♥,Slowpoke,53
Psych Up,Normal,Status,—,—%,10,Smart,0,Slowpoke,57
Curse,???,Status,—,—%,10,Tough,0,Slowbro,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Slowbro,1
Yawn,Normal,Status,—,—%,10,Cute,2 ♥♥,Slowbro,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Slowbro,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Slowbro,6
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Slowbro,11
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Slowbro,15
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Slowbro,20
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Slowbro,25
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Slowbro,29
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Slowbro,34
Withdraw,Water,Status,—,—%,40,Cute,2 ♥♥,Slowbro,37
Slack Off,Normal,Status,—,—%,10,Cute,0,Slowbro,41
Amnesia,Psychic,Status,—,—%,20,Cute,0,Slowbro,47
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Slowbro,54
Rain Dance,Water,Status,—,—%,5,Tough,2 ♥♥,Slowbro,61
Psych Up,Normal,Status,—,—%,10,Smart,0,Slowbro,67
Power Gem,Rock,Special,70,100%,20,Beauty,3 ♥♥♥,Slowking,1
Hidden Power,Normal,Special,—,100%,15,Smart,1 ♥,Slowking,1
Curse,???,Status,—,—%,10,Tough,0,Slowking,1
Tackle,Normal,Physical,35,95%,35,Tough,3 ♥♥♥,Slowking,1
Yawn,Normal,Status,—,—%,10,Cute,2 ♥♥,Slowking,1
Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,Slowking,6
Water Gun,Water,Special,40,100%,25,Cute,3 ♥♥♥,Slowking,11
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Slowking,15
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Slowking,20
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Slowking,25
Water Pulse,Water,Special,60,100%,20,Beauty,2 ♥♥,Slowking,29
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Slowking,34
Nasty Plot,Dark,Status,—,—%,20,Cute,0,Slowking,39
Swagger,Normal,Status,—,90%,15,Cute,2 ♥♥,Slowking,43
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Slowking,48
Trump Card,Normal,Special,—,—%,5,Cool,0,Slowking,53
Psych Up,Normal,Status,—,—%,10,Smart,0,Slowking,57
Absorb,Grass,Special,20,100%,25,Smart,1 ♥,Oddish,1
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Oddish,5
Acid,Poison,Special,40,100%,30,Smart,3 ♥♥♥,Oddish,9
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Oddish,13
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Oddish,15
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Oddish,17
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Oddish,21
Lucky Chant,Normal,Status,—,—%,30,Cute,2 ♥♥,Oddish,25
Natural Gift,Normal,Physical,—,100%,15,Cool,2 ♥♥,Oddish,29
Moonlight,Normal,Status,—,—%,5,Beauty,0,Oddish,33
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Oddish,37
Petal Dance,Grass,Special,90,100%,20,Beauty,0,Oddish,41
Absorb,Grass,Special,20,100%,25,Smart,1 ♥,Gloom,1
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Gloom,1
Acid,Poison,Special,40,100%,30,Smart,3 ♥♥♥,Gloom,1
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Gloom,5
Acid,Poison,Special,40,100%,30,Smart,3 ♥♥♥,Gloom,9
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Gloom,13
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Gloom,15
Sleep Powder,Grass,Status,—,75%,15,Smart,2 ♥♥,Gloom,17
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Gloom,23
Lucky Chant,Normal,Status,—,—%,30,Cute,2 ♥♥,Gloom,29
Natural Gift,Normal,Physical,—,100%,15,Cool,2 ♥♥,Gloom,35
Moonlight,Normal,Status,—,—%,5,Beauty,0,Gloom,41
Giga Drain,Grass,Special,60,100%,10,Smart,1 ♥,Gloom,47
Petal Dance,Grass,Special,90,100%,20,Beauty,0,Gloom,53
Aromatherapy,Grass,Status,—,—%,5,Smart,0,Vileplume,1
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Vileplume,1
PoisonPowder,Poison,Status,—,75%,35,Smart,2 ♥♥,Vileplume,1
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Vileplume,1
Petal Dance,Grass,Special,90,100%,20,Beauty,0,Vileplume,53
SolarBeam,Grass,Special,120,100%,10,Cool,1 ♥,Vileplume,65
Leaf Blade,Grass,Physical,90,100%,15,Cool,2 ♥♥,Bellossom,1
Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,Bellossom,1
Stun Spore,Grass,Status,—,75%,30,Smart,2 ♥♥,Bellossom,1
Mega Drain,Grass,Special,40,100%,15,Smart,1 ♥,Bellossom,1
Sunny Day,Fire,Status,—,—%,5,Beauty,2 ♥♥,Bellossom,1
Magical Leaf,Grass,Special,60,—%,20,Beauty,2 ♥♥,Bellossom,23
Leaf Storm,Grass,Special,140,90%,5,Cute,2 ♥♥,Bellossom,53
Pound,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Drowzee,1
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Drowzee,1
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Drowzee,7
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Drowzee,9
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Drowzee,15
Poison Gas,Poison,Status,—,55%,40,Smart,3 ♥♥♥,Drowzee,18
Meditate,Psychic,Status,—,—%,40,Beauty,0,Drowzee,21
Psybeam,Psychic,Special,65,100%,20,Beauty,2 ♥♥,Drowzee,26
Psych Up,Normal,Status,—,—%,10,Smart,0,Drowzee,29
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Drowzee,32
Swagger,Normal,Status,—,90%,15,Cute,2 ♥♥,Drowzee,37
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Drowzee,40
Nasty Plot,Dark,Status,—,—%,20,Cute,0,Drowzee,43
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Drowzee,50
Future Sight,Psychic,Special,80,90%,15,Smart,2 ♥♥,Drowzee,53
Nightmare,Ghost,Status,—,100%,15,Smart,2 ♥♥,Hypno,1
Switcheroo,Dark,Status,—,100%,10,Cool,0,Hypno,1
Pound,Normal,Physical,40,100%,35,Tough,3 ♥♥♥,Hypno,1
Hypnosis,Psychic,Status,—,60%,20,Smart,2 ♥♥,Hypno,1
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Hypno,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Hypno,1
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Hypno,7
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Hypno,9
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Hypno,15
Poison Gas,Poison,Status,—,55%,40,Smart,3 ♥♥♥,Hypno,18
Meditate,Psychic,Status,—,—%,40,Beauty,0,Hypno,21
Psybeam,Psychic,Special,65,100%,20,Beauty,2 ♥♥,Hypno,28
Psych Up,Normal,Status,—,—%,10,Smart,0,Hypno,33
Headbutt,Normal,Physical,70,100%,15,Tough,3 ♥♥♥,Hypno,38
Swagger,Normal,Status,—,90%,15,Cute,2 ♥♥,Hypno,45
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Hypno,50
Nasty Plot,Dark,Status,—,—%,20,Cute,0,Hypno,55
Zen Headbutt,Psychic,Physical,80,90%,15,Beauty,2 ♥♥,Hypno,64
Future Sight,Psychic,Special,80,90%,15,Smart,2 ♥♥,Hypno,69
Teleport,Psychic,Status,—,—%,20,Cool,2 ♥♥,Abra,1
Kinesis,Psychic,Status,—,80%,15,Smart,0,Kadabra,1
Teleport,Psychic,Status,—,—%,20,Cool,2 ♥♥,Kadabra,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Kadabra,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Kadabra,16
Disable,Normal,Status,—,80%,20,Smart,2 ♥♥,Kadabra,18
Miracle Eye,Psychic,Status,—,—%,40,Cute,1 ♥,Kadabra,22
Psybeam,Psychic,Special,65,100%,20,Beauty,2 ♥♥,Kadabra,24
Reflect,Psychic,Status,—,—%,20,Smart,2 ♥♥,Kadabra,28
Recover,Normal,Status,—,—%,10,Smart,0,Kadabra,30
Psycho Cut,Psychic,Physical,70,100%,20,Cool,2 ♥♥,Kadabra,34
Role Play,Psychic,Status,—,—%,10,Cute,1 ♥,Kadabra,36
Psychic,Psychic,Special,90,100%,10,Smart,2 ♥♥,Kadabra,40
Future Sight,Psychic,Special,80,90%,15,Smart,2 ♥♥,Kadabra,42
Trick,Psychic,Status,—,100%,10,Smart,0,Kadabra,46
Kinesis,Psychic,Status,—,80%,15,Smart,0,Alakazam,1
Teleport,Psychic,Status,—,—%,20,Cool,2 ♥♥,Alakazam,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Alakazam,1
Confusion,Psychic,Special,50,100%,25,Smart,3 ♥♥♥,Alakazam,16
